Courier Partner,Couriers,Mode,Min weight,Max weight,Zone A,Zone B,Zone C,Zone D,Zone E,Zone F,COD Amount,COD Percentage,DPH Divisor 
Amazon,Amazon Shipping Standard,FWD,13501,14000,367.9,417.3,492.7,518.7,574.6,574.6,30,2,0
Amazon,Amazon Shipping Standard,RTO,13501,14000,331.5,375.7,443.3,466.7,517.4,517.4,30,2,0
Amazon,Amazon Shipping Standard,FWD,14001,14500,386.1,438.1,518.7,544.7,603.2,603.2,30,2,0
Amazon,Amazon Shipping Standard,RTO,14001,14500,347.1,393.9,466.7,490.1,543.4,543.4,30,2,0
Amazon,Amazon Shipping Standard,FWD,14501,15000,386.1,438.1,518.7,544.7,603.2,603.2,30,2,0
Amazon,Amazon Shipping Standard,RTO,14501,15000,347.1,393.9,466.7,490.1,543.4,543.4,30,2,0
Amazon,Amazon Shipping Standard,FWD,15001,15500,404.3,458.9,544.7,570.7,631.8,631.8,30,2,0
Amazon,Amazon Shipping Standard,RTO,15001,15500,364,413.4,490.1,513.5,568.1,568.1,30,2,0
Amazon,Amazon Shipping Standard,FWD,15501,16000,404.3,458.9,544.7,570.7,631.8,631.8,30,2,0
Amazon,Amazon Shipping Standard,RTO,15501,16000,364,413.4,490.1,513.5,568.1,568.1,30,2,0
Amazon,Amazon Shipping Standard,FWD,16001,16500,422.5,479.7,570.7,596.7,660.4,660.4,30,2,0
Amazon,Amazon Shipping Standard,RTO,16001,16500,380.9,431.6,513.5,536.9,594.1,594.1,30,2,0
Amazon,Amazon Shipping Standard,FWD,16501,17000,422.5,479.7,570.7,596.7,660.4,660.4,30,2,0
Amazon,Amazon Shipping Standard,RTO,16501,17000,380.9,431.6,513.5,536.9,594.1,594.1,30,2,0
Amazon,Amazon Shipping Standard,FWD,17001,17500,440.7,500.5,596.7,622.7,689,689,30,2,0
Amazon,Amazon Shipping Standard,RTO,17001,17500,396.5,451.1,536.9,560.3,620.1,620.1,30,2,0
Amazon,Amazon Shipping Standard,FWD,17501,18000,440.7,500.5,596.7,622.7,689,689,30,2,0
Amazon,Amazon Shipping Standard,RTO,17501,18000,396.5,451.1,536.9,560.3,620.1,620.1,30,2,0
Amazon,Amazon Shipping Standard,FWD,18001,18500,458.9,521.3,622.7,648.7,717.6,717.6,30,2,0
Amazon,Amazon Shipping Standard,RTO,18001,18500,413.4,469.3,560.3,583.7,646.1,646.1,30,2,0
Amazon,Amazon Shipping Standard,FWD,18501,19000,458.9,521.3,622.7,648.7,717.6,717.6,30,2,0
Amazon,Amazon Shipping Standard,RTO,18501,19000,413.4,469.3,560.3,583.7,646.1,646.1,30,2,0
Shadowfax Z,Shadowfax Z Surface 500G,FWD,0,500,28.6,31.2,35.1,41.6,52,52,30,2,14.28
Shadowfax Z,Shadowfax Z Surface 500G,RTO,0,500,22.88,24.96,28.08,33.28,41.6,41.6,30,2,14.28
Shadowfax Z,Shadowfax Z Surface 1KG,FWD,501,1000,45.5,50.7,57.2,66.3,93.6,93.6,30,2,14.28
Shadowfax Z,Shadowfax Z Surface 1KG,RTO,501,1000,36.4,40.56,45.76,53.04,74.88,74.88,30,2,14.28
Shadowfax Z,Shadowfax Z Surface 1KG ,FWD,+,1000,13,16.9,26,31.2,39,39,30,2,14.28
Shadowfax Z,Shadowfax Z Surface 1KG ,RTO,+,1000,10.4,13.52,20.8,24.96,31.2,31.2,30,2,14.28
